Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18488946585,"May 13, 2026, 9:54:42 AM","TOO Hard Starts, I saw Jesus",Virtual Ride,🗺️ Tempus Fugit in Watopia,3631,32.85,176.0,74,false,,,activities/19594322202.fit.gz,,9.0,3631.0,3577.0,32851.9,11.94,9.184,53.0,0.0,12.6,17.6,2.3,0.0,,,122.0,88.0,176.0,152.0,,125.0,426.0,,,74.0,,,,,,,,,139.0,3632.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.048,0.0,,,,,0.0,,86.0,93.0,,,,,0.0,,,,0.0,,,,media/7c1ab908-0244-4def-b0d5-0df83118582f.jpg|media/86fefe55-a84d-4c4b-af10-ac5718730362.jpg
18479164508,"May 12, 2026, 3:38:01 PM",Zwift - EF Pro Cycling's Red Day Workout,Virtual Ride,🗺️ Tempus Fugit in Watopia,2731,24.02,147.0,16,false,,,activities/19584468146.fit.gz,,9.0,2731.0,2731.0,24022.1,11.16,8.796,38.0,0.0,12.6,17.6,2.3,0.0,,,121.0,91.0,147.0,132.0,,104.0,270.0,,,16.0,,,,,,,,,110.0,2732.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.796,0.0,,,,,0.0,,40.0,73.0,,,,,0.0,,,,0.0,,,,""
18461413418,"May 11, 2026, 9:04:32 AM",Zwift - VO2 Blast on Tempus Fugit in Watopia,Virtual Ride,"",2730,24.56,173.0,30,false,,,activities/19566609055.fit.gz,,9.0,2730.0,2730.0,24562.8,11.3,8.997,38.0,0.0,12.6,17.6,2.4,0.0,,,122.0,92.0,173.0,141.0,,125.0,325.0,,,30.0,,,,,,,,,136.0,2731.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.997,0.0,,,,,0.0,,62.0,91.0,,,,,0.0,,,,0.0,,,,""
18437694081,"May 9, 2026, 7:09:27 AM",Forgot to disconnect from Jeff’s power meter 😁,Ride,"525 Training Load
-- from COROS",17944,104.13,180.0,293,false,,Standert Triebwerk,activities/19542543089.fit.gz,,9.0,17944.0,13905.0,104132.0,11.2,7.489,329.0,324.0,32.8,64.2,6.2,0.0,,,118.0,79.0,180.0,154.0,,122.0,1911.0,,16.0,293.0,1748000.0,,,,,,,,140.0,15010.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16540971.0,,,,,,,,,,,,5.803,0.0,,,,,0.0,,361.0,93.0,,,,,,,,,,,,,media/757B4090-58F9-43F1-8C5E-9D1C10E00456.jpg|media/009D689C-3065-4F33-B73D-C31DB608BBC7.mp4
18428296476,"May 8, 2026, 4:43:42 PM",Zwift - Foundation,Virtual Ride,🗺️ Tempus Fugit in Watopia,2903,25.58,144.0,11,false,,,activities/19533037365.fit.gz,,9.0,2903.0,2903.0,25582.3,11.22,8.812,39.0,0.0,12.6,17.6,4.1,0.0,,,122.0,88.0,144.0,125.0,,107.0,297.0,,,11.0,,,,,,,,,111.0,2904.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.812,0.0,,,,,0.0,,44.0,74.0,,,,,0.0,,,,0.0,,,,""
18411458181,"May 7, 2026, 10:58:16 AM",Zwift - zone2 ride,Virtual Ride,🗺️ Tempus Fugit in Watopia,4467,39.85,145.0,26,false,,,activities/19516059919.fit.gz,,9.0,4467.0,4467.0,39852.3,11.5,8.921,59.0,0.0,12.6,17.6,2.3,0.0,,,122.0,87.0,145.0,133.0,,105.0,449.0,,,26.0,,,,,,,,,107.0,4468.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.921,0.0,,,,,0.0,,62.0,71.0,,,,,0.0,,,,0.0,,,,""
18402220265,"May 6, 2026, 4:45:28 PM",Zwift - Strength,Virtual Ride,🗺️ Tempus Fugit in Watopia,3365,29.01,149.0,1,false,,,activities/19506758384.fit.gz,,9.0,3365.0,3329.0,29013.9,13.78,8.716,46.0,0.0,12.6,17.6,2.1,0.0,,,122.0,86.0,149.0,35.0,,100.0,319.0,,,1.0,,,,,,,,,114.0,3366.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.622,0.0,,,,,0.0,,54.0,76.0,,,,0.0,0.0,,,,0.0,,,,""
18385861242,"May 5, 2026, 1:23:24 PM",Zwift - Foundation,Virtual Ride,🗺️ Tempus Fugit in Watopia,2900,25.25,151.0,21,false,,,activities/19490284659.fit.gz,,9.0,2900.0,2900.0,25251.6,11.5,8.707,39.0,0.0,12.6,17.6,2.4,0.0,,,121.0,83.0,151.0,135.0,,103.0,284.0,,,21.0,,,,,,,,,107.0,2901.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.707,0.0,,,,,0.0,,40.0,71.0,,,,0.0,0.0,,,,0.0,,,,media/65c0dfde-175e-4df6-b4f4-45e4052729c4.jpg|media/8f7df659-ddf0-46cb-abb3-caee4f409e60.jpg|media/ed8c8ca6-f630-45c7-adb2-94c9c674afef.mp4
18361461877,"May 3, 2026, 1:21:35 PM",Afternoon Ride,Ride,"2 Training Load
-- from COROS",5172,6.36,139.0,5,false,,Standert Triebwerk,activities/19465640008.fit.gz,,9.0,5172.0,1659.0,6366.8,6.7,3.838,14.0,13.0,34.8,40.0,13.4,0.0,,,87.0,49.0,139.0,118.0,,34.0,61.0,,29.0,5.0,56000.0,,,,,,,,45.0,2061.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16540971.0,,,,,,,,,,,,1.231,869.0,,,,,0.0,,5.0,30.0,,,,,,,,,,,,,""
18358552735,"May 3, 2026, 11:30:28 AM",Afternoon Ride,Ride,"1 Training Load
-- from COROS",1272,4.37,135.0,3,false,,Standert Triebwerk,activities/19462690070.fit.gz,,9.0,1272.0,932.0,4378.8,7.5,4.698,8.0,7.0,34.0,37.8,9.3,0.1,,,87.0,56.0,135.0,122.0,,44.0,45.0,,31.0,3.0,40000.0,,,,,,,,45.0,1119.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16540971.0,,,,,,,,,,,,3.442,5.0,,,,,0.0,,2.0,30.0,,,,,,,,,,,,,""
